Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
De'Aaron Fox,27,SAC,PG,28,28,1042,19.8,.576,.311,.301,3.4,11.6,7.6,26.2,2.2,0.8,13.3,30.4,1.5,1.0,2.4,.111,2.2,-1.1,1.1,0.8,
Mikal Bridges,28,NYK,SF,27,27,1034,13.6,.578,.458,.060,3.0,7.5,5.4,12.2,1.3,1.3,9.3,19.2,1.1,0.7,1.7,.080,0.1,-1.3,-1.1,0.2,
Tyrese Haliburton,24,IND,PG,28,28,990,18.2,.570,.603,.216,2.4,8.6,5.5,34.9,1.7,1.7,11.4,21.8,2.2,0.5,2.7,.129,3.6,-1.4,2.2,1.1,
OG Anunoby,27,NYK,PF,27,27,987,14.7,.582,.454,.190,3.5,11.6,7.8,7.6,2.1,3.0,8.3,18.9,1.1,1.1,2.2,.107,-0.2,0.0,-0.2,0.5,
Keegan Murray,24,SAC,PF,27,27,979,10.9,.520,.485,.105,7.5,16.2,11.9,5.4,1.0,2.3,7.8,15.2,0.6,0.8,1.4,.068,-1.7,-1.4,-3.1,-0.3,
Trae Young,26,ATL,PG,27,27,976,17.3,.546,.487,.386,1.8,9.8,5.7,48.1,1.7,0.4,18.9,27.2,1.3,0.5,1.8,.091,2.2,-2.3,-0.1,0.5,
Pascal Siakam,30,IND,PF,28,28,967,18.8,.620,.298,.252,5.9,17.2,11.6,15.3,1.3,0.9,8.3,22.2,2.3,0.5,2.8,.141,2.3,-1.2,1.2,0.8,
Josh Hart,29,NYK,SG,26,26,957,17.9,.694,.372,.234,5.0,19.7,12.7,19.9,2.0,0.9,15.1,14.3,2.6,1.1,3.7,.187,2.3,1.3,3.7,1.4,
Jalen Johnson,23,ATL,SF,26,26,955,17.3,.576,.281,.225,4.8,24.7,14.6,21.9,1.7,3.0,16.0,22.4,0.7,1.1,1.8,.092,0.6,1.1,1.7,0.9,
Devin Booker,28,PHO,SG,26,26,951,20.6,.588,.424,.398,3.6,7.5,5.6,28.4,1.5,0.9,9.6,28.5,2.7,0.3,3.0,.153,3.5,-1.8,1.7,0.9,
Domantas Sabonis,28,SAC,C,26,26,938,24.6,.701,.178,.363,10.5,30.0,20.4,26.0,1.1,1.3,16.6,21.8,3.5,1.2,4.7,.240,5.2,1.1,6.3,2.0,
Shai Gilgeous-Alexander,26,OKC,PG,27,27,935,28.5,.619,.300,.374,2.5,14.1,8.4,30.7,2.7,3.0,9.8,33.5,3.4,2.1,5.4,.278,7.4,2.9,10.2,2.9,
Anthony Edwards,23,MIN,SG,26,26,931,19.0,.589,.501,.208,2.0,14.6,8.4,19.8,1.9,1.6,12.3,30.6,0.9,1.5,2.3,.120,3.3,0.3,3.7,1.3,
Jalen Brunson,28,NYK,PG,27,27,925,22.1,.616,.361,.377,1.6,8.0,5.0,34.0,1.0,0.2,10.8,28.8,3.3,0.4,3.8,.197,5.0,-2.1,3.0,1.2,
Bennedict Mathurin,22,IND,SG,28,23,921,13.7,.592,.327,.396,4.3,17.1,10.8,7.6,1.1,1.0,12.9,22.0,0.7,0.5,1.2,.061,-1.3,-2.0,-3.3,-0.3,
Anthony Davis,31,LAL,C,26,26,918,27.8,.604,.122,.465,8.5,28.6,18.6,17.0,1.8,5.6,8.8,30.8,2.6,1.4,4.0,.208,5.0,0.9,5.9,1.8,
James Harden,35,LAC,PG,27,27,912,19.9,.572,.511,.456,1.8,19.5,10.6,38.0,2.3,1.9,19.1,30.7,1.1,1.5,2.6,.135,3.2,1.1,4.3,1.5,
Jayson Tatum,26,BOS,PF,25,25,911,22.9,.595,.512,.363,1.5,25.5,13.5,25.2,1.6,1.2,10.4,31.3,2.3,1.4,3.7,.193,5.1,1.0,6.1,1.8,
Ivica Zubac,27,LAC,C,28,28,902,19.9,.610,.000,.265,13.4,29.7,21.5,12.6,0.9,3.2,13.5,19.2,1.7,1.5,3.2,.170,1.1,0.2,1.3,0.7,
Derrick White,30,BOS,SG,26,26,898,18.2,.618,.711,.174,3.6,11.8,7.7,20.4,1.5,2.9,9.2,19.3,2.4,1.1,3.5,.186,3.6,0.8,4.4,1.4,
Fred VanVleet,30,HOU,PG,25,25,885,13.8,.496,.552,.193,1.9,10.7,6.2,24.4,2.0,1.2,8.2,19.5,1.0,1.5,2.5,.135,0.0,1.5,1.5,0.8,
Rudy Gobert,32,MIN,C,26,26,883,15.6,.676,.000,.560,11.0,24.2,17.7,8.1,1.1,3.8,17.1,11.9,1.7,1.6,3.4,.182,-1.2,1.6,0.4,0.5,
Jalen Green,22,HOU,SG,27,27,879,13.4,.534,.477,.265,1.6,13.5,7.5,12.4,1.6,0.8,13.0,26.7,0.0,1.5,1.5,.079,-0.5,0.1,-0.4,0.3,
Michael Porter Jr.,26,DEN,SF,25,25,877,16.2,.609,.427,.179,5.0,16.6,11.0,11.4,1.2,0.9,8.0,19.7,1.5,0.6,2.2,.119,1.6,-1.3,0.3,0.5,
Dyson Daniels,21,ATL,SG,26,26,877,13.0,.503,.308,.129,5.2,11.0,8.1,13.7,4.0,2.5,12.5,17.7,-0.1,1.2,1.1,.059,-2.8,2.2,-0.6,0.3,
Bam Adebayo,27,MIA,C,25,25,876,17.6,.520,.203,.293,7.9,23.8,15.9,21.8,2.0,2.1,11.4,21.9,0.9,1.4,2.3,.125,0.3,1.2,1.4,0.8,
Jalen Williams,23,OKC,SG,27,27,874,21.5,.582,.306,.198,2.9,16.2,9.6,24.8,2.8,2.5,11.1,27.8,1.4,2.0,3.4,.188,3.3,2.2,5.5,1.7,
LeBron James,40,LAL,SF,25,25,874,20.6,.574,.318,.250,3.2,22.2,12.7,43.5,0.9,1.7,17.0,29.6,1.0,0.7,1.7,.095,4.0,-0.5,3.5,1.2,
Tyler Herro,25,MIA,SG,25,25,873,20.1,.623,.565,.209,1.2,15.9,8.6,24.0,1.2,0.2,11.0,27.3,1.9,0.9,2.7,.150,4.6,-0.7,3.9,1.3,
Cade Cunningham,23,DET,PG,24,24,870,19.3,.551,.322,.215,3.3,18.8,11.2,44.7,1.1,2.4,17.3,30.9,0.8,0.9,1.7,.092,3.2,0.0,3.2,1.1,
Ochai Agbaji,24,TOR,SG,28,26,867,12.8,.636,.460,.097,3.2,11.5,7.3,8.6,1.5,1.7,8.2,13.5,1.3,0.5,1.8,.098,-0.1,0.1,0.1,0.4,
Karl-Anthony Towns,29,NYK,C,25,25,862,26.5,.656,.311,.367,10.3,35.4,23.5,15.3,1.3,2.8,12.0,27.7,3.0,1.4,4.4,.244,5.2,0.4,5.6,1.7,
Nikola VuÄeviÄ,34,CHI,C,27,27,858,22.9,.689,.322,.165,6.5,25.5,16.1,16.1,1.1,2.2,10.5,22.2,2.6,0.8,3.3,.187,4.3,-0.1,4.3,1.4,
Ayo Dosunmu,25,CHI,SG,28,15,858,13.9,.595,.408,.183,2.1,11.2,6.8,20.3,1.1,1.4,10.2,16.6,1.4,0.4,1.8,.101,-0.4,-0.6,-1.0,0.2,
Donovan Mitchell,28,CLE,SG,27,27,857,20.8,.582,.495,.206,1.9,14.2,8.2,21.4,2.5,0.9,9.2,30.2,1.6,1.2,2.8,.157,3.1,0.1,3.2,1.1,
Julius Randle,30,MIN,PF,26,26,855,18.0,.600,.330,.399,6.2,16.5,11.4,19.8,1.2,0.4,13.9,26.1,1.5,1.2,2.6,.148,1.2,-0.1,1.2,0.7,
Kentavious Caldwell-Pope,31,ORL,SG,28,28,852,9.0,.532,.660,.175,1.4,6.6,3.9,8.6,2.6,1.8,9.6,12.1,0.3,1.4,1.7,.093,-3.7,2.3,-1.4,0.1,
Coby White,24,CHI,SG,26,26,850,13.5,.571,.612,.233,1.3,10.3,5.8,19.3,1.6,0.5,13.0,23.0,0.6,0.4,1.0,.055,-0.6,-1.5,-2.1,0.0,
Dillon Brooks,29,HOU,SF,27,27,849,10.6,.546,.508,.117,4.1,8.9,6.5,7.3,1.0,0.8,7.4,17.1,0.8,1.1,2.0,.112,-1.5,0.1,-1.4,0.1,
Kyrie Irving,32,DAL,SG,24,24,848,21.2,.623,.374,.196,3.6,10.5,7.2,23.3,1.6,0.6,10.2,25.5,2.5,0.7,3.2,.182,5.1,-0.3,4.8,1.5,
Cameron Johnson,28,BRK,PF,26,26,848,19.5,.663,.595,.311,2.6,14.0,8.2,15.6,1.2,1.7,7.2,21.3,2.6,0.4,2.9,.166,5.2,-0.3,4.9,1.5,
Alperen Sengun,22,HOU,C,27,27,843,22.7,.539,.097,.320,11.0,24.5,17.7,27.3,1.8,2.9,11.3,26.0,1.7,1.9,3.6,.206,3.9,2.8,6.7,1.8,
Brook Lopez,36,MIL,C,26,26,841,13.2,.596,.563,.148,4.3,12.2,8.4,6.6,1.5,6.1,11.0,14.4,0.7,1.0,1.7,.096,-0.7,0.8,0.2,0.5,
Giannis Antetokounmpo,30,MIL,PF,24,24,840,31.9,.632,.036,.543,6.5,29.0,18.2,35.4,1.0,4.0,11.7,36.9,3.1,1.2,4.3,.244,6.8,2.3,9.1,2.3,
Jalen Suggs,23,ORL,PG,28,28,839,14.3,.533,.519,.213,2.5,14.2,8.1,21.4,2.5,3.4,16.0,25.9,-0.3,1.6,1.3,.075,-0.9,1.4,0.5,0.5,
Tobias Harris,32,DET,PF,26,26,837,13.4,.537,.374,.190,3.7,19.8,11.9,10.9,1.2,2.6,8.8,18.5,0.6,0.9,1.4,.083,-1.0,0.1,-0.9,0.2,
Bilal Coulibaly,20,WAS,SF,24,24,837,11.5,.538,.358,.287,4.3,12.0,8.1,13.8,2.0,2.0,14.9,16.6,0.1,0.2,0.4,.020,-2.2,-0.5,-2.7,-0.2,
Jakob Poeltl,29,TOR,C,26,25,835,19.4,.611,.007,.301,13.2,24.5,18.8,12.9,1.7,3.7,14.5,19.3,1.4,1.0,2.4,.138,0.4,0.3,0.7,0.6,
Tyus Jones,28,PHO,PG,26,26,831,16.6,.618,.557,.078,2.0,7.0,4.5,31.5,1.6,0.3,9.6,15.5,2.3,0.2,2.5,.147,2.5,-1.0,1.5,0.7,
Franz Wagner,23,ORL,SF,25,25,829,22.8,.573,.336,.285,3.1,17.1,9.8,32.1,2.6,1.4,10.3,31.0,1.7,1.5,3.3,.189,4.3,1.8,6.1,1.7,
Jabari Smith Jr.,21,HOU,PF,27,27,829,12.8,.572,.518,.220,5.9,16.8,11.2,5.0,0.5,2.7,6.4,14.9,1.3,1.3,2.6,.151,-0.3,0.6,0.3,0.5,
Jarrett Allen,26,CLE,C,28,28,826,21.5,.720,.005,.443,8.8,29.2,19.3,8.3,1.6,2.6,10.0,15.2,2.7,1.5,4.2,.243,2.6,0.9,3.5,1.1,
Toumani Camara,24,POR,PF,27,27,826,10.7,.545,.535,.138,7.3,11.4,9.3,9.4,2.3,1.5,15.4,13.7,0.4,0.5,0.8,.048,-1.8,-0.2,-1.9,0.0,
